Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1541,1513,12.972159,12.599972,0.372187
2,1529,1541,12.264038,14.698228,2.434191
3,1561,1529,16.963042,12.998613,3.964429
4,1545,1561,13.12542,14.598072,1.472652
5,1526,1545,12.595109,14.89554,2.300431
6,1566,1526,7.660608,13.01374,5.353132
7,1529,1566,29.069206,15.776287,13.292919
8,1547,1529,17.476654,14.261356,3.215298
9,1572,1547,15.889385,14.082316,1.807069
10,1567,1572,13.729655,11.556921,2.172734
11,1538,1567,10.491403,12.026489,1.535087
12,1513,1538,10.099996,10.996956,0.89696
13,1538,1513,9.223069,10.720002,1.496934
14,1555,1538,10.967763,10.433947,0.533816
15,1544,1555,8.094218,10.565601,2.471382
16,1563,1544,9.165821,9.73865,0.572829
17,1561,1563,9.851404,9.20528,0.646124
18,1569,1561,8.309779,9.156154,0.846376
,,,,,1.661494655
