Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1541,1513,12.972159,13.183168,0.211009
2,1529,1539,12.264038,16.928845,4.664807
3,1561,1529,16.963042,14.002608,2.960434
4,1545,1561,13.12542,15.089704,1.964284
5,1526,1545,12.595109,15.079698,2.484589
6,1566,1526,7.660608,13.521079,5.860471
7,1529,1564,29.069206,15.901883,13.167323
8,1547,1529,17.476654,14.028598,3.448056
9,1572,1547,15.889385,14.129885,1.7595
10,1567,1572,13.729655,12.477786,1.251869
11,1538,1565,10.491403,12.846222,2.354819
12,1513,1538,10.099996,10.917894,0.817898
13,1538,1513,9.223069,10.492604,1.269535
14,1555,1538,10.967763,10.834226,0.133538
15,1544,1555,8.094218,9.275131,1.180913
16,1563,1544,9.165821,9.845512,0.67969
17,1561,1563,9.851404,9.545355,0.306049
18,1569,1560,8.309779,8.627954,0.318175
,,,,,1.346858138
