Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1541,1513,12.972159,12.720915,0.251244
2,1529,1541,12.264038,14.210694,1.946657
3,1561,1529,16.963042,13.998072,2.96497
4,1545,1561,13.12542,14.663956,1.538536
5,1526,1545,12.595109,13.736183,1.141074
6,1566,1526,7.660608,14.983996,7.323388
7,1529,1566,29.069206,16.386537,12.682668
8,1547,1529,17.476654,13.840671,3.635983
9,1572,1547,15.889385,13.912938,1.976447
10,1567,1572,13.729655,11.896441,1.833214
11,1538,1567,10.491403,12.726402,2.234999
12,1513,1538,10.099996,11.346744,1.246748
13,1538,1513,9.223069,10.321017,1.097948
14,1555,1538,10.967763,9.803858,1.163905
15,1544,1555,8.094218,9.374313,1.280094
16,1563,1544,9.165821,10.323802,1.15798
17,1561,1563,9.851404,9.227989,0.623415
18,1569,1561,8.309779,8.91654,0.606761
,,,,,1.624667923
