Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1541,1513,12.972159,13.280405,0.308246
2,1529,1541,12.264038,13.615961,1.351924
3,1561,1529,16.963042,14.576775,2.386267
4,1545,1561,13.12542,14.89336,1.76794
5,1526,1545,12.595109,16.55014,3.955031
6,1566,1526,7.660608,13.891009,6.230401
7,1529,1566,29.069206,15.680004,13.389202
8,1547,1529,17.476654,13.661151,3.815503
9,1572,1547,15.889385,12.971449,2.917935
10,1567,1572,13.729655,12.149599,1.580056
11,1538,1567,10.491403,12.889006,2.397604
12,1513,1538,10.099996,12.265468,2.165472
13,1538,1513,9.223069,11.891935,2.668867
14,1555,1538,10.967763,10.332065,0.635698
15,1544,1555,8.094218,9.933426,1.839208
16,1563,1544,9.165821,9.808691,0.64287
17,1561,1563,9.851404,9.019256,0.832148
18,1569,1561,8.309779,9.058285,0.748507
,,,,,1.852776597
