Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1541,1510,12.972159,11.863333,1.108826
2,1529,1539,12.264038,15.309713,3.045676
3,1561,1526,16.963042,13.942826,3.020216
4,1545,1559,13.12542,14.366802,1.241382
5,1526,1540,12.595109,15.03162,2.436511
6,1566,1522,7.660608,14.49797,6.837362
7,1529,1558,29.069206,15.776287,13.292919
8,1547,1527,17.476654,14.234208,3.242446
9,1572,1541,15.889385,12.865152,3.024233
10,1567,1567,13.729655,12.03184,1.697814
11,1538,1562,10.491403,12.045299,1.553896
12,1513,1529,10.099996,11.615479,1.515483
13,1538,1510,9.223069,10.831372,1.608304
14,1555,1532,10.967763,11.987408,1.019645
15,1544,1547,8.094218,11.056227,2.962009
16,1563,1534,9.165821,10.457521,1.291699
17,1561,1553,9.851404,9.059186,0.792219
18,1569,1556,8.309779,9.043537,0.733758
,,,,,2.047775436
