Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1541,1513,12.972159,12.661328,0.310831
2,1529,1541,12.264038,14.649731,2.385693
3,1561,1529,16.963042,13.151493,3.811549
4,1545,1561,13.12542,14.17178,1.046359
5,1526,1545,12.595109,17.035457,4.440348
6,1566,1526,7.660608,13.773161,6.112553
7,1529,1566,29.069206,15.494624,13.574582
8,1547,1529,17.476654,14.146574,3.33008
9,1572,1547,15.889385,14.154428,1.734956
10,1567,1572,13.729655,11.654268,2.075387
11,1538,1567,10.491403,12.706193,2.21479
12,1513,1538,10.099996,11.390769,1.290773
13,1538,1513,9.223069,10.919208,1.69614
14,1555,1538,10.967763,10.463041,0.504722
15,1544,1555,8.094218,9.829774,1.735555
16,1563,1544,9.165821,10.120494,0.954673
17,1561,1563,9.851404,9.461444,0.389961
18,1569,1561,8.309779,8.843848,0.534069
,,,,,1.677245055
