Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,3000,2869,12.972159,12.648232,0.323927
2,2974,2973,12.264038,19.799808,7.535771
3,2953,2947,16.963042,13.078702,3.88434
4,2855,2923,13.12542,20.337381,7.211961
5,2906,2821,12.595109,16.907829,4.31272
6,2886,2874,7.660608,16.096189,8.435581
7,2886,2856,29.069206,17.019101,12.050105
8,2893,2849,17.476654,18.889893,1.413239
9,2930,2868,15.889385,14.483657,1.405728
10,3022,2904,13.729655,11.722467,2.007188
11,3013,2988,10.491403,12.054789,1.563386
12,2949,2976,10.099996,12.180192,2.080196
13,3012,2906,9.223069,11.820744,2.597675
14,3026,2967,10.967763,10.548239,0.419524
15,3074,2987,8.094218,11.426889,3.332671
16,3131,3023,9.165821,11.287546,2.121724
17,3135,3080,9.851404,8.97266,0.878745
18,3146,3097,8.309779,11.102411,2.792632
,,,,,2.406940848
