Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,3000,2896,12.972159,13.773704,0.801545
2,2974,3000,12.264038,17.609366,5.345328
3,2953,2974,16.963042,10.774817,6.188225
4,2855,2953,13.12542,16.123993,2.998573
5,2906,2855,12.595109,32.020377,19.425268
6,2886,2906,7.660608,16.87263,9.212022
7,2886,2886,29.069206,15.936127,13.133078
8,2893,2886,17.476654,17.841441,0.364787
9,2930,2893,15.889385,14.742808,1.146577
10,3022,2930,13.729655,15.09853,1.368875
11,3013,3022,10.491403,12.023079,1.531677
12,2949,3013,10.099996,11.107072,1.007075
13,3012,2949,9.223069,12.544883,3.321814
14,3026,3012,10.967763,11.699173,0.73141
15,3074,3026,8.094218,12.435998,4.34178
16,3131,3074,9.165821,10.767603,1.601781
17,3135,3131,9.851404,9.284791,0.566613
18,3146,3135,8.309779,10.535411,2.225632
,,,,,2.310306832
