Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,3000,2400,12.972159,13.796796,0.824637
2,2974,2467,12.264038,20.054262,7.790224
3,2953,2472,16.963042,14.736706,2.226336
4,2855,2466,13.12542,14.892408,1.766988
5,2906,2393,12.595109,23.937079,11.34197
6,2886,2450,7.660608,12.752296,5.091688
7,2886,2427,29.069206,15.321818,13.747387
8,2893,2415,17.476654,17.630217,0.153563
9,2930,2403,15.889385,17.669416,1.780031
10,3022,2432,13.729655,11.744915,1.98474
11,3013,2485,10.491403,14.335264,3.843861
12,2949,2443,10.099996,12.529409,2.429413
13,3012,2398,9.223069,12.29824,3.075171
14,3026,2434,10.967763,11.003895,0.036132
15,3074,2446,8.094218,13.867542,5.773324
16,3131,2497,9.165821,9.643057,0.477236
17,3135,2564,9.851404,9.252184,0.599221
18,3146,2568,8.309779,10.852109,2.542331
,,,,,1.818731321
