Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,3000,2860,12.972159,14.203359,1.231201
2,2974,2958,12.264038,15.987685,3.723647
3,2953,2933,16.963042,35.285198,18.322156
4,2855,2909,13.12542,21.655786,8.530365
5,2906,2811,12.595109,-139.935831,152.53094
6,2886,2853,7.660608,20.277197,12.616589
7,2886,2829,29.069206,15.107892,13.961313
8,2893,2832,17.476654,29.051791,11.575137
9,2930,2854,15.889385,15.538013,0.351372
10,3022,2888,13.729655,15.616385,1.88673
11,3013,2973,10.491403,12.671812,2.180409
12,2949,2955,10.099996,13.060911,2.960915
13,3012,2883,9.223069,10.834543,1.611475
14,3026,2942,10.967763,15.90292,4.935157
15,3074,2958,8.094218,13.370401,5.276183
16,3131,2998,9.165821,13.136096,3.970275
17,3135,3051,9.851404,10.273689,0.422285
18,3146,3076,8.309779,12.323248,4.013469
,,,,,4.31531515
