Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,3000,2896,12.972159,15.839271,2.867112
2,2974,3000,12.264038,14.890007,2.62597
3,2953,2974,16.963042,17.762226,0.799184
4,2855,2953,13.12542,18.12893,5.00351
5,2906,2855,12.595109,35.743002,23.147893
6,2886,2906,7.660608,13.873283,6.212676
7,2886,2886,29.069206,16.029273,13.039933
8,2893,2886,17.476654,19.150197,1.673543
9,2930,2893,15.889385,15.684004,0.205381
10,3022,2930,13.729655,13.817785,0.08813
11,3013,3022,10.491403,12.244153,1.752751
12,2949,3013,10.099996,13.779129,3.679133
13,3012,2949,9.223069,12.911294,3.688226
14,3026,3012,10.967763,10.704371,0.263393
15,3074,3026,8.094218,13.208399,5.11418
16,3131,3074,9.165821,10.490244,1.324423
17,3135,3131,9.851404,10.566148,0.714744
18,3146,3135,8.309779,13.870761,5.560983
,,,,,2.010644362
