Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,5291,4627,12.972159,12.2,0.772159
2,5202,4630,12.264038,13.86484,1.600802
3,5090,4572,16.963042,13.516882,3.44616
4,5118,4519,13.12542,14.139506,1.014086
5,5180,4518,12.595109,12.26694,0.328169
6,5192,4516,7.660608,14.157245,6.496637
7,5177,4494,29.069206,13.81681,15.252396
8,5176,4483,17.476654,12.764507,4.712147
9,5225,4478,15.889385,13.750538,2.138847
10,5331,4513,13.729655,12.795079,0.934576
11,5351,4620,10.491403,12.076652,1.58525
12,5244,4637,10.099996,11.802981,1.702985
13,5231,4566,9.223069,12.171604,2.948535
14,5286,4510,10.967763,10.340855,0.626908
15,5464,4549,8.094218,12.174795,4.080577
16,5464,4718,9.165821,10.156484,0.990663
17,5563,4701,9.851404,8.666119,1.185285
18,5497,4762,8.309779,10.173509,1.86373
,,,,,1.840904806
