Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,5291,4986,12.972159,15.009673,2.037514
2,5202,5004,12.264038,12.794911,0.530873
3,5090,4914,16.963042,17.478429,0.515387
4,5118,4828,13.12542,15.390732,2.265311
5,5180,4831,12.595109,21.813427,9.218318
6,5192,4853,7.660608,12.901548,5.24094
7,5177,4858,29.069206,14.244913,14.824293
8,5176,4859,17.476654,14.628977,2.847677
9,5225,4883,15.889385,21.53465,5.645266
10,5331,4907,13.729655,14.514462,0.784808
11,5351,5013,10.491403,13.206793,2.71539
12,5244,5051,10.099996,12.624369,2.524373
13,5231,4955,9.223069,11.403494,2.180425
14,5286,4951,10.967763,11.488006,0.520242
15,5464,5009,8.094218,10.871899,2.777681
16,5464,5178,9.165821,11.480263,2.314442
17,5563,5180,9.851404,10.35843,0.507026
18,5497,5263,8.309779,12.253963,3.944185
,,,,,2.170249631
