Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,5291,4564,12.972159,10.540911,2.431248
2,5202,4564,12.264038,11.555398,0.70864
3,5090,4525,16.963042,13.497435,3.465608
4,5118,4464,13.12542,13.779962,0.654541
5,5180,4462,12.595109,13.86876,1.273651
6,5192,4452,7.660608,13.206793,5.546185
7,5177,4415,29.069206,13.195063,15.874143
8,5176,4401,17.476654,13.156406,4.320248
9,5225,4406,15.889385,12.06402,3.825365
10,5331,4437,13.729655,13.360675,0.36898
11,5351,4536,10.491403,12.553678,2.062275
12,5244,4564,10.099996,12.85179,2.751794
13,5231,4483,9.223069,11.721463,2.498395
14,5286,4415,10.967763,11.578626,0.610863
15,5464,4460,8.094218,10.025446,1.931228
16,5464,4637,9.165821,10.764406,1.598584
17,5563,4614,9.851404,10.701462,0.850058
18,5497,4665,8.309779,11.531663,3.221885
,,,,,1.967782001
