Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,5291,5275,12.972159,12.320243,0.651916
2,5202,5291,12.264038,11.404584,0.859454
3,5090,5202,16.963042,13.445401,3.517641
4,5118,5090,13.12542,13.753523,0.628102
5,5180,5118,12.595109,16.389344,3.794235
6,5192,5180,7.660608,13.236982,5.576374
7,5177,5192,29.069206,13.049127,16.020079
8,5176,5177,17.476654,13.045625,4.431029
9,5225,5176,15.889385,12.255404,3.63398
10,5331,5225,13.729655,12.120576,1.609078
11,5351,5331,10.491403,11.411771,0.920369
12,5244,5351,10.099996,11.351288,1.251292
13,5231,5244,9.223069,11.958017,2.734948
14,5286,5231,10.967763,11.154384,0.186621
15,5464,5286,8.094218,11.659741,3.565523
16,5464,5464,9.165821,9.944902,0.77908
17,5563,5464,9.851404,9.673781,0.177623
18,5497,5563,8.309779,10.728525,2.418746
,,,,,1.643178621
