Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,209,113,12.972159,10.908219,2.06394
2,114,202,12.264038,10.19503,2.069008
3,178,113,16.963042,-10.852207,27.815249
4,250,172,13.12542,11.769329,1.356092
5,241,239,12.595109,19.496698,6.901589
6,259,226,7.660608,15.248268,7.58766
7,272,242,29.069206,14.274402,14.794804
8,193,259,17.476654,17.620382,0.143728
9,129,186,15.889385,3.300582,12.588803
10,248,127,13.729655,20.586216,6.856561
11,147,238,10.491403,11.74143,1.250027
12,168,144,10.099996,6.943588,3.156408
13,181,161,9.223069,13.432725,4.209656
14,144,179,10.967763,5.660966,5.306798
15,243,142,8.094218,#ÀNOMBRE?,inf
16,213,233,9.165821,10.395848,1.230027
17,126,202,9.851404,12.584845,2.733441
18,158,120,8.309779,#ÀNOMBRE?,inf
,,,,,3.47818644
