Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,209,114,12.972159,-0.580806,13.552965
2,114,205,12.264038,11.008145,1.255893
3,178,114,16.963042,-11.473146,28.436188
4,250,175,13.12542,11.579216,1.546204
5,241,244,12.595109,34.147272,21.552163
6,259,233,7.660608,12.994489,5.333881
7,272,251,29.069206,14.463604,14.605602
8,193,264,17.476654,12.372546,5.104108
9,129,190,15.889385,0.136149,15.753236
10,248,128,13.729655,-153.929565,167.65922
11,147,243,10.491403,11.74143,1.250027
12,168,145,10.099996,11.105484,1.005488
13,181,164,9.223069,568.322205,559.099136
14,144,180,10.967763,7.721444,3.24632
15,243,144,8.094218,-13.626283,21.720501
16,213,239,9.165821,6.717055,2.448767
17,126,208,9.851404,12.584845,2.733441
18,158,123,8.309779,0.700642,7.609137
,,,,,8.393455965
