Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,209,113,12.972159,9.749526,3.222632
2,114,203,12.264038,-0.387181,12.651218
3,178,113,16.963042,0.224237,16.738805
4,250,173,13.12542,12.128391,0.997029
5,241,241,12.595109,-12.702491,25.297599
6,259,228,7.660608,13.903938,6.24333
7,272,247,29.069206,12.279234,16.789971
8,193,262,17.476654,12.372546,5.104108
9,129,187,15.889385,nan,nan
10,248,127,13.729655,0.107818,13.621837
11,147,240,10.491403,11.813502,1.3221
12,168,144,10.099996,11.694809,1.594813
13,181,161,9.223069,0.605214,8.617854
14,144,179,10.967763,0.314328,10.653435
15,243,144,8.094218,-25.278089,33.372307
16,213,234,9.165821,7.212414,1.953407
17,126,205,9.851404,12.661173,2.809768
18,158,120,8.309779,25.676266,17.366487
,,,,,6.560475711
