Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,209,112,12.972159,10.908219,2.06394
2,114,202,12.264038,52.795158,40.531121
3,178,111,16.963042,-11.473146,28.436188
4,250,171,13.12542,11.395147,1.730273
5,241,238,12.595109,35.383263,22.788154
6,259,224,7.660608,13.621705,5.961097
7,272,241,29.069206,13.496977,15.572228
8,193,257,17.476654,17.620382,0.143728
9,129,185,15.889385,-0.30193,16.191315
10,248,127,13.729655,20.586216,6.856561
11,147,238,10.491403,11.214223,0.72282
12,168,143,10.099996,11.105484,1.005488
13,181,161,9.223069,568.322205,559.099136
14,144,178,10.967763,5.858277,5.109486
15,243,141,8.094218,-12.639044,20.733263
16,213,228,9.165821,6.657258,2.508563
17,126,201,9.851404,-0.389551,10.240955
18,158,120,8.309779,#ÀNOMBRE?,inf
,,,,,6.831241482
