Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,209,115,12.972159,10.908219,2.06394
2,114,209,12.264038,-18.670097,30.934135
3,178,114,16.963042,-20.094797,37.057839
4,250,178,13.12542,11.579216,1.546204
5,241,250,12.595109,13.643206,1.048097
6,259,241,7.660608,27.8744,20.213792
7,272,259,29.069206,13.496977,15.572228
8,193,272,17.476654,17.620382,0.143728
9,129,193,15.889385,-6.087487,21.976872
10,248,129,13.729655,-13.440525,27.17018
11,147,248,10.491403,11.155164,0.663761
12,168,147,10.099996,12.244994,2.144998
13,181,168,9.223069,13.432725,4.209656
14,144,181,10.967763,5.660966,5.306798
15,243,144,8.094218,-13.626283,21.720501
16,213,243,9.165821,7.291746,1.874076
17,126,213,9.851404,11.796385,1.944981
18,158,126,8.309779,#ÀNOMBRE?,inf
,,,,,4.694088672
