Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,500,500,12.972159,15.118331,2.146172
2,500,500,12.264038,34.238138,21.9741
3,500,497,16.963042,21.86445,4.901408
4,500,500,13.12542,30.599347,17.473927
5,500,500,12.595109,36.94192,24.346811
6,500,500,7.660608,13.196953,5.536345
7,500,500,29.069206,88.199309,59.130103
8,500,500,17.476654,14.804748,2.671906
9,500,500,15.889385,13.104719,2.784666
10,500,500,13.729655,10.997986,2.731669
11,500,499,10.491403,11.378052,0.88665
12,500,500,10.099996,14.516261,4.416265
13,500,498,9.223069,11.155451,1.932383
14,500,497,10.967763,10.732111,0.235652
15,500,500,8.094218,15.193041,7.098823
16,500,500,9.165821,7.691188,1.474633
17,500,497,9.851404,24.639958,14.788554
18,500,497,8.309779,13.252227,4.942448
,,,,,4.612404529
