Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,500,391,12.972159,18.884737,5.912578
2,500,386,12.264038,16.093532,3.829494
3,500,394,16.963042,25.950566,8.987524
4,500,388,13.12542,18.007935,4.882514
5,500,398,12.595109,#ÀNOMBRE?,inf
6,500,402,7.660608,10.904098,3.24349
7,500,410,29.069206,15.47849,13.590715
8,500,413,17.476654,13.04291,4.433744
9,500,406,15.889385,11.978569,3.910816
10,500,405,13.729655,13.305461,0.424194
11,500,404,10.491403,9.21814,1.273262
12,500,403,10.099996,#ÀNOMBRE?,inf
13,500,404,9.223069,8.337534,0.885535
14,500,394,10.967763,9.602499,1.365264
15,500,400,8.094218,12.613632,4.519413
16,500,405,9.165821,11.85998,2.694159
17,500,414,9.851404,17.295608,7.444203
18,500,422,8.309779,21.811092,13.501313
,,,,,3.53951435
