Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,500,154,12.972159,11.037261,1.934898
2,500,156,12.264038,16.093532,3.829494
3,500,175,16.963042,12.252187,4.710855
4,500,173,13.12542,11.562654,1.562766
5,500,162,12.595109,219.973804,207.378695
6,500,173,7.660608,12.169096,4.508488
7,500,179,29.069206,127.591015,98.52181
8,500,174,17.476654,9.385881,8.090773
9,500,187,15.889385,33.357271,17.467887
10,500,186,13.729655,-67.276561,81.006216
11,500,190,10.491403,7.095474,3.395928
12,500,192,10.099996,47.565583,37.465587
13,500,186,9.223069,6.868427,2.354641
14,500,183,10.967763,#ÀNOMBRE?,inf
15,500,192,8.094218,8.710056,0.615837
16,500,186,9.165821,8.662199,0.503622
17,500,185,9.851404,93.363121,83.511717
18,500,188,8.309779,22.668225,14.358446
,,,,,8.507704067
