Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,500,500,12.972159,34.863224,21.891065
2,500,500,12.264038,12.287916,0.023879
3,500,500,16.963042,12.228396,4.734646
4,500,500,13.12542,27.13703,14.01161
5,500,500,12.595109,163.234249,150.63914
6,500,500,7.660608,21.060413,13.399805
7,500,500,29.069206,50.640857,21.571652
8,500,500,17.476654,11.089785,6.386869
9,500,500,15.889385,19.397308,3.507924
10,500,500,13.729655,23.975796,10.246141
11,500,500,10.491403,11.126852,0.635449
12,500,500,10.099996,#ÀNOMBRE?,inf
13,500,500,9.223069,13.011141,3.788072
14,500,500,10.967763,9.248616,1.719147
15,500,500,8.094218,11.388446,3.294228
16,500,500,9.165821,13.838581,4.672759
17,500,500,9.851404,30.069045,20.21764
18,500,500,8.309779,20.178036,11.868257
,,,,,5.603745749
