Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,500,469,12.972159,15.032572,2.060413
2,500,469,12.264038,11.232933,1.031104
3,500,469,16.963042,19.223361,2.260319
4,500,469,13.12542,#ÀNOMBRE?,inf
5,500,469,12.595109,22.855315,10.260206
6,500,469,7.660608,21.010102,13.349494
7,500,469,29.069206,19.166911,9.902294
8,500,469,17.476654,10.863816,6.612838
9,500,469,15.889385,11.506522,4.382862
10,500,469,13.729655,11.395594,2.334061
11,500,469,10.491403,9.202233,1.289169
12,500,469,10.099996,#ÀNOMBRE?,inf
13,500,469,9.223069,7.700628,1.52244
14,500,469,10.967763,24.12196,13.154197
15,500,469,8.094218,25.331177,17.236958
16,500,469,9.165821,9.7978,0.631979
17,500,469,9.851404,18.733353,8.881948
18,500,469,8.309779,18.57773,10.267951
,,,,,4.249319841
