Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1759,1630,12.972159,39.085541,26.113382
2,1820,1662,12.264038,18.462411,6.198373
3,1850,1717,16.963042,19.448003,2.484961
4,1828,1752,13.12542,12.75058,0.37484
5,1806,1729,12.595109,13.800722,1.205613
6,1877,1689,7.660608,13.582155,5.921547
7,1894,1736,29.069206,28.390896,0.67831
8,1889,1758,17.476654,21.355565,3.878911
9,1917,1757,15.889385,12.62184,3.267545
10,1874,1778,13.729655,13.405893,0.323762
11,1912,1739,10.491403,11.925842,1.434439
12,1930,1787,10.099996,13.47966,3.379664
13,1881,1794,9.223069,13.306518,4.083449
14,1886,1769,10.967763,12.682468,1.714705
15,1957,1776,8.094218,10.655268,2.56105
16,1888,1849,9.165821,8.38985,0.775972
17,1919,1778,9.851404,9.293754,0.55765
18,2057,1815,8.309779,9.738633,1.428855
,,,,,1.946585088
