Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1759,1563,12.972159,15.955726,2.983567
2,1820,1586,12.264038,15.936022,3.671985
3,1850,1648,16.963042,13.086079,3.876963
4,1828,1685,13.12542,13.05016,0.07526
5,1806,1649,12.595109,12.133985,0.461124
6,1877,1614,7.660608,13.992081,6.331473
7,1894,1649,29.069206,12.451406,16.617799
8,1889,1661,17.476654,13.306518,4.170136
9,1917,1658,15.889385,13.226897,2.662488
10,1874,1689,13.729655,13.359891,0.369764
11,1912,1643,10.491403,11.458751,0.967349
12,1930,1693,10.099996,12.709608,2.609612
13,1881,1700,9.223069,12.985996,3.762927
14,1886,1678,10.967763,28.241647,17.273884
15,1957,1682,8.094218,11.892371,3.798153
16,1888,1747,9.165821,13.280068,4.114246
17,1919,1682,9.851404,12.903089,3.051685
18,2057,1716,8.309779,10.361837,2.052059
,,,,,2.451451103
