Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1759,1517,12.972159,15.887558,2.9154
2,1820,1548,12.264038,13.150852,0.886815
3,1850,1598,16.963042,11.885505,5.077537
4,1828,1628,13.12542,13.79452,0.6691
5,1806,1603,12.595109,13.666054,1.070945
6,1877,1569,7.660608,13.910185,6.249577
7,1894,1585,29.069206,14.93347,14.135736
8,1889,1604,17.476654,13.71197,3.764684
9,1917,1602,15.889385,10.848712,5.040672
10,1874,1634,13.729655,13.023071,0.706584
11,1912,1581,10.491403,11.302545,0.811142
12,1930,1630,10.099996,12.269044,2.169048
13,1881,1630,9.223069,12.249906,3.026838
14,1886,1612,10.967763,11.843832,0.876069
15,1957,1609,8.094218,10.310501,2.216282
16,1888,1676,9.165821,12.512749,3.346928
17,1919,1619,9.851404,9.293754,0.55765
18,2057,1660,8.309779,8.420538,0.11076
,,,,,1.750496373
