Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1759,1723,12.972159,14.013385,1.041226
2,1820,1759,12.264038,11.782281,0.481757
3,1850,1820,16.963042,10.954612,6.00843
4,1828,1850,13.12542,12.674217,0.451204
5,1806,1828,12.595109,11.832303,0.762806
6,1877,1806,7.660608,12.994489,5.333881
7,1894,1877,29.069206,13.418166,15.651039
8,1889,1894,17.476654,13.256621,4.220033
9,1917,1889,15.889385,12.209222,3.680162
10,1874,1917,13.729655,13.513847,0.215808
11,1912,1874,10.491403,12.103292,1.61189
12,1930,1912,10.099996,11.53862,1.438624
13,1881,1930,9.223069,11.388587,2.165519
14,1886,1881,10.967763,11.574449,0.606685
15,1957,1886,8.094218,10.847726,2.753507
16,1888,1957,9.165821,7.476341,1.689481
17,1919,1888,9.851404,11.035821,1.184417
18,2057,1919,8.309779,8.232758,0.07702
,,,,,1.390008375
