Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1915,1709,12.972159,11.562246,1.409912
2,1824,1698,12.264038,14.692965,2.428927
3,1837,1630,16.963042,15.325847,1.637195
4,1827,1657,13.12542,20.911806,7.786385
5,1877,1649,12.595109,14.392256,1.797147
6,1931,1683,7.660608,11.011778,3.35117
7,1964,1707,29.069206,15.768297,13.300908
8,1954,1741,17.476654,17.629831,0.153177
9,1984,1731,15.889385,13.648082,2.241302
10,2046,1750,13.729655,13.175379,0.554276
11,2065,1771,10.491403,11.840311,1.348908
12,2007,1844,10.099996,9.714262,0.385734
13,2029,1779,9.223069,10.838352,1.615284
14,2048,1806,10.967763,9.883364,1.0844
15,2044,1815,8.094218,8.87777,0.783552
16,2088,1825,9.165821,8.119974,1.045847
17,2095,1849,9.851404,8.615724,1.23568
18,2159,1845,8.309779,8.942537,0.632758
,,,,,1.392713548
