Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1915,1819,12.972159,14.904908,1.93275
2,1824,1817,12.264038,15.786792,3.522754
3,1837,1746,16.963042,13.151807,3.811235
4,1827,1763,13.12542,20.457618,7.332197
5,1877,1745,12.595109,14.02611,1.431001
6,1931,1773,7.660608,10.540306,2.879698
7,1964,1814,29.069206,16.446994,12.622211
8,1954,1855,17.476654,15.977443,1.499211
9,1984,1858,15.889385,13.371526,2.517858
10,2046,1873,13.729655,10.731905,2.99775
11,2065,1900,10.491403,12.400305,1.908903
12,2007,1960,10.099996,10.89652,0.796524
13,2029,1903,9.223069,11.235693,2.012625
14,2048,1942,10.967763,10.939167,0.028597
15,2044,1961,8.094218,9.361085,1.266867
16,2088,1965,9.165821,9.052667,0.113154
17,2095,1993,9.851404,9.077874,0.77353
18,2159,1992,8.309779,8.805485,0.495706
,,,,,1.418211475
