Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1915,1706,12.972159,14.261321,1.289162
2,1824,1709,12.264038,13.387694,1.123656
3,1837,1647,16.963042,13.153978,3.809064
4,1827,1668,13.12542,16.133407,3.007987
5,1877,1658,12.595109,17.57798,4.982872
6,1931,1686,7.660608,10.466456,2.805848
7,1964,1723,29.069206,16.377332,12.691874
8,1954,1745,17.476654,14.165093,3.311561
9,1984,1743,15.889385,14.293264,1.59612
10,2046,1761,13.729655,11.334567,2.395088
11,2065,1782,10.491403,10.155098,0.336305
12,2007,1856,10.099996,10.499185,0.399189
13,2029,1790,9.223069,10.267521,1.044453
14,2048,1821,10.967763,10.246109,0.721654
15,2044,1834,8.094218,9.875405,1.781187
16,2088,1856,9.165821,10.014307,0.848486
17,2095,1876,9.851404,8.21735,1.634054
18,2159,1862,8.309779,9.249824,0.940046
,,,,,1.655859776
