Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1915,1890,12.972159,11.63387,1.338289
2,1824,1915,12.264038,13.389555,1.125518
3,1837,1824,16.963042,12.646006,4.317036
4,1827,1837,13.12542,19.084819,5.959399
5,1877,1827,12.595109,15.116523,2.521415
6,1931,1877,7.660608,12.571511,4.910903
7,1964,1931,29.069206,14.662301,14.406905
8,1954,1964,17.476654,18.133042,0.656388
9,1984,1954,15.889385,14.475104,1.414281
10,2046,1984,13.729655,11.012593,2.717062
11,2065,2046,10.491403,11.779769,1.288366
12,2007,2065,10.099996,11.41959,1.319594
13,2029,2007,9.223069,10.768174,1.545105
14,2048,2029,10.967763,11.512911,0.545147
15,2044,2048,8.094218,9.482167,1.387949
16,2088,2044,9.165821,8.939345,0.226477
17,2095,2088,9.851404,8.763034,1.08837
18,2159,2095,8.309779,9.042147,0.732369
,,,,,1.625199054
